timestamp,ax,ay,az,gx,gy,gz
0.0,-1.326,-1.257,0.191,200.789,-131.154,-183.849
0.02,-0.024,-0.088,0.937,-6.221,4.315,-6.696
0.04,-0.054,-0.037,1.184,-6.899,9.839,3.328
0.06,-0.088,-0.005,1.172,-5.337,4.303,-1.08
0.08,0.116,0.099,1.156,2.002,-7.669,3.226
0.1,-0.027,0.187,0.966,5.727,6.507,-4.705
0.12,-0.1,0.1,0.972,8.876,4.092,-4.939
0.14,0.108,0.076,0.948,1.845,-2.387,0.392
0.16,0.115,-0.135,1.163,-2.363,5.948,2.174
0.18,0.13,-0.04,0.843,9.454,0.495,-5.782
0.2,-0.19,-0.198,1.024,8.93,-3.507,-2.947
0.22,-0.003,-0.033,1.091,3.456,3.182,9.363
0.24,0.12,0.068,1.039,1.866,-2.9,-9.411
0.26,0.047,-0.133,0.973,4.653,3.935,1.831
0.28,-0.108,-0.185,0.964,6.797,2.562,3.423
0.3,-0.184,0.068,0.96,-4.9,4.117,-3.425
0.32,-0.2,0.11,0.961,4.124,8.433,7.42
0.34,0.038,-0.102,1.035,-0.095,3.999,7.703
0.36,-0.004,0.024,1.006,5.363,-1.024,8.759
0.38,0.084,-0.019,1.044,-5.072,2.114,-5.164
0.4,0.135,-0.014,1.122,9.53,1.389,4.096
0.42,0.088,0.168,1.078,-2.742,-6.846,2.932
0.44,0.072,0.114,1.096,-0.247,0.222,-1.059
0.46,-0.157,0.088,1.069,8.997,9.269,9.275
0.48,-0.154,-0.122,1.142,5.605,2.453,3.577
0.5,0.032,-0.09,1.129,2.608,3.916,-3.237
0.52,-0.185,0.034,0.926,8.29,0.999,5.167
0.54,0.041,0.185,0.902,5.251,-0.153,1.252
0.56,0.168,0.126,0.903,1.824,-8.666,-2.417
0.58,0.004,0.03,0.874,1.149,-2.636,-9.326
0.6,0.008,-0.071,1.116,5.412,-2.578,-1.384
0.62,0.153,0.066,1.089,-2.774,8.794,9.101
0.64,-0.129,0.001,0.937,1.812,1.539,-2.3
0.66,-0.162,-0.013,1.028,-4.804,-4.675,1.76
0.68,-0.03,0.057,0.928,1.986,8.92,3.327
0.7,-0.061,-0.194,0.995,1.912,-1.382,7.118
0.72,0.169,-0.023,1.189,2.223,-3.669,-4.487
0.74,-0.158,-0.133,0.855,-2.919,-6.421,3.225
0.76,-0.04,-0.045,0.91,-2.864,-0.448,-5.541
0.78,-0.149,0.073,0.992,6.043,-9.587,4.931
0.8,-0.106,-0.118,0.952,8.582,7.189,7.645
0.82,0.121,-0.075,1.078,-3.634,-2.427,-2.877
0.84,0.106,-0.092,0.868,-0.059,-4.023,-8.253
0.86,0.104,-0.055,1.175,8.009,3.451,-0.145
0.88,-0.108,0.135,0.861,4.945,-6.171,-6.476
0.9,0.097,0.178,1.124,-1.554,6.46,-9.253
0.92,0.012,-0.161,1.122,7.897,7.405,4.36
0.94,-0.105,-0.016,0.924,0.62,0.27,-3.159
0.96,0.032,0.015,1.185,8.329,4.197,0.296
0.98,0.157,0.198,1.058,-5.232,-3.241,1.548
1.0,-0.078,-0.115,0.884,-1.046,8.666,5.202
1.02,-0.092,-0.145,0.801,6.036,-7.594,6.971
1.04,-0.143,-0.069,0.857,7.627,-4.923,-5.953
1.06,-0.054,0.081,0.988,-2.57,6.377,-0.44
1.08,0.145,-0.053,0.822,5.269,0.811,-7.857
1.1,0.094,-0.033,0.919,-7.897,9.973,-4.346
1.12,-0.101,-0.052,1.03,2.01,-9.252,-3.243
1.14,0.199,0.075,0.901,-0.137,8.217,-3.575
1.16,-0.056,0.055,0.876,-5.505,-4.874,-5.133
1.18,-0.016,0.188,0.831,-8.911,5.939,2.928
1.2,-0.06,0.114,1.106,-9.712,1.504,-4.017
1.22,0.013,-0.102,0.971,-6.129,-5.673,-0.748
1.24,0.076,0.129,0.892,-9.937,1.86,7.023
1.26,-0.081,0.068,0.832,-1.782,6.909,-9.016
1.28,0.095,0.167,0.974,2.3,-0.5,-8.069
1.3,-0.035,-0.097,1.198,0.061,-9.718,-0.737
1.32,0.012,-0.15,0.822,3.396,-7.717,5.44
1.34,-0.067,-0.177,0.807,1.519,2.138,2.232
1.36,0.063,-0.025,0.874,-8.917,5.031,-3.817
1.38,-0.003,-0.01,1.059,7.983,1.211,2.709
1.4,-0.117,0.143,0.889,2.481,-1.336,-9.725
1.42,0.156,-0.196,0.843,-6.541,7.04,7.248
1.44,-0.085,-0.107,0.82,-5.854,9.685,5.572
1.46,-0.047,0.195,1.16,-8.766,-3.92,2.868
1.48,-0.102,0.181,1.035,-4.92,6.043,9.514
1.5,-0.003,-0.071,1.081,5.372,1.47,-6.913
1.52,-0.034,0.112,1.073,4.483,1.394,-7.513
1.54,-0.097,-0.119,1.076,-6.071,3.969,1.747
1.56,0.181,-0.007,0.922,1.429,-5.115,-1.607
1.58,-0.027,0.055,0.955,-6.801,-7.562,7.963
1.6,0.158,0.061,1.109,9.758,5.005,-0.49
1.62,-0.002,-0.051,1.14,-2.383,2.799,4.437
1.64,-0.133,0.076,0.822,-2.756,9.851,-1.666
1.66,-0.106,0.026,1.09,9.229,-7.071,7.582
1.68,-0.089,0.015,1.063,-1.708,-9.683,-4.343
1.7,-0.182,-0.093,1.103,-8.412,-8.34,9.818
1.72,0.134,0.194,1.186,9.946,7.742,-8.624
1.74,0.132,-0.048,0.836,-5.793,-0.604,6.026
1.76,-0.089,0.02,1.175,7.248,-4.455,7.119
1.78,0.194,0.134,0.962,2.274,9.796,0.074
1.8,-0.058,0.106,0.963,-6.829,6.411,-9.798
1.82,-0.123,-0.195,1.057,-7.854,9.615,-8.505
1.84,0.119,-0.093,0.997,-0.214,-1.006,4.058
1.86,0.003,-0.001,0.966,2.405,-3.412,-2.488
1.88,-0.064,-0.01,0.99,5.149,7.657,1.716
1.9,0.06,-0.167,1.11,-4.694,-4.457,2.851
1.92,-0.142,-0.092,1.082,2.344,1.965,2.553
1.94,-0.022,-0.161,1.071,0.097,7.065,8.518
1.96,-0.026,-0.118,0.99,8.512,9.966,-3.657
1.98,0.115,0.087,0.981,6.798,-4.316,-0.556
2.0,0.141,-0.181,0.899,6.499,-5.538,8.131
2.02,0.151,0.044,0.862,3.637,4.022,8.091
2.04,0.08,-0.132,1.029,-8.641,-8.774,-3.933
2.06,-0.024,0.182,1.176,0.221,-9.677,9.282
2.08,-0.015,0.055,1.098,2.926,-5.266,5.215
2.1,-0.042,0.163,0.819,8.265,-7.975,2.215
2.12,0.066,0.013,0.831,-5.369,5.553,-2.695
2.14,0.036,0.086,0.83,-2.495,-7.741,-4.518
2.16,-0.161,0.136,1.075,5.793,-9.394,-9.643
2.18,-0.098,0.101,0.836,-6.62,8.633,8.992
2.2,-0.118,0.093,0.817,2.543,8.201,6.77
2.22,0.076,-0.192,1.178,-5.044,-7.134,-2.468
2.24,-0.049,-0.167,1.185,4.806,-5.511,-1.343
2.26,0.164,-0.12,0.908,2.661,1.019,2.463
2.28,0.099,0.198,0.882,7.433,-5.009,4.408
2.3,-0.023,-0.109,0.924,-6.148,-0.685,-5.762
2.32,-0.003,-0.035,0.896,0.697,-2.628,-1.337
2.34,-0.07,0.129,1.044,7.968,-3.575,8.211
2.36,0.17,-0.15,0.802,-2.081,8.45,1.453
2.38,0.076,0.033,1.133,8.354,-7.616,-4.892
2.4,-0.115,-0.052,0.919,0.43,2.763,-9.649
2.42,0.196,0.033,1.024,-9.449,-0.771,8.166
2.44,0.014,0.083,0.995,9.342,-7.215,9.006
2.46,-0.023,0.063,0.933,8.793,4.643,2.078
2.48,0.033,-0.153,0.944,-1.776,-1.187,8.418
2.5,-0.006,-0.067,0.826,-8.144,-2.01,4.776
2.52,0.052,0.135,1.057,4.876,4.256,9.989
2.54,-0.053,0.112,0.986,-7.281,-1.429,-4.157
2.56,0.073,0.172,1.051,-2.353,6.411,6.342
2.58,0.042,-0.086,0.945,8.766,-3.782,0.564
2.6,-0.014,-0.112,1.039,2.887,4.68,5.521
2.62,-0.114,0.038,1.082,4.648,8.368,7.152
2.64,-0.102,0.019,1.097,5.319,-6.859,-7.669
2.66,-0.026,0.006,1.128,0.134,-0.704,-2.623
2.68,0.046,-0.144,0.996,-1.545,7.48,2.847
2.7,0.097,0.052,1.049,3.134,2.49,3.534
2.72,-0.132,0.075,1.032,-9.747,-0.803,7.366
2.74,-0.192,-0.006,1.024,-2.706,-4.147,-6.953
2.76,0.06,0.028,0.895,4.659,-5.214,8.989
2.78,0.036,-0.074,1.182,-2.43,-8.826,3.849
2.8,-0.008,-0.179,1.05,-8.845,5.569,-5.129
2.82,0.038,0.146,0.829,1.254,1.575,2.669
2.84,-0.15,-0.007,1.031,-8.298,-3.059,-9.584
2.86,-0.098,-0.114,0.987,-9.388,-7.466,6.577
2.88,-0.055,0.162,1.179,2.176,-7.131,7.735
2.9,-0.139,-0.065,0.931,-1.632,1.378,1.062
2.92,-0.174,0.187,1.157,8.966,-6.469,4.94
2.94,-0.036,0.131,1.059,-9.712,-9.201,0.473
2.96,0.175,-0.182,1.136,-8.473,-7.687,-1.956
2.98,0.177,-0.024,0.913,7.339,2.4,-3.79
3.0,0.059,-0.049,1.109,4.501,-1.163,3.86
3.02,-0.128,0.021,0.814,3.357,-4.126,-2.608
3.04,-0.049,-0.024,0.891,-3.327,4.794,1.711
3.06,0.1,0.008,1.132,2.995,-5.403,6.447
3.08,0.139,0.155,1.095,-7.667,-8.973,0.035
